,Unnamed: 0,Arabic_Tweets_Cleaned,label
0,0,اضافه قيام معلمو جيزه ذهاب جريد سابع نشر خبر اتي عام,MSA
1,0,بركه زار خدم مدنيه زار تربيه تعليم خريج خريج خدم اجتماعيه لا وظيف اوموظفين مسمى وظيفي اخري واحد من,MSA
2,0,شكر,MSA
3,0,مبرووك لكن خلي صاحب مركز رابع عشر لعب صاحب مركز سادس عشر خلا نشوف,MSA
4,0,راح وصل ماء ابدا لو حطو ماسور خمسون انش لانهاشبار ماسورة قبل موظف فتح ناس أغلق ناس اسبوع ماضي خميس لم نزل قطر ماء واحد ساعي ماء جاء مراقب ماء عادة مثل حم عروس لا أقبل كان شو اج نهاي دوام مسلسل سلط ماء حي مسجد ابو بكر صديق مابعرف شو راح مسلسل لدى سلط رمضان,MSA
5,1,بعد الله حرام تجي تلقي واقف اشاره عرض متعدي ناس خط مشاه مصيبه واقف قدام رجل مرور لكن لا كان,MSA
6,1,شرط خدم,MSA
7,1,توفيق زعيم مشكوور شبيه ريح ومشكوور خالد بلط جدار شا الله نهاءي سعودي,MSA
8,1,عشان مقيم أيقظ,MSA
9,1,موسم غض نظر فوز خساره هناك انتصار مصاحب اخطاء مميت ساعد عدم تحقيق بطولة نور مثل كم مشكلة اشكالي تسبب موسم خسر اتحاد كثير بطولة محليه خارجيه استفاد خبرة ادار انديه اوربيه ياباني,MSA
10,2,لمس يد مرة واضح جد حكم,DIAL_LEV
11,2,شرط خدم,DIAL_LEV
12,2,يش تكلمتوا المباراه,DIAL_LEV
13,2,علاقة بين السعوديه امريكا,DIAL_LEV
14,2,الله حراام جزيره خسر لان لاعب نصر اغلب مزور بس ظلم رغم هي خلو يلعبو هم مزوري ممنوع يلعبو,DIAL_LEV
15,3,خصوص هاتريك عمر راح صار,DIAL_LEV
16,3,توفيق صلى شاء,DIAL_LEV
17,3,تري فزع نهايه يبي مقابل,DIAL_LEV
18,3,لكن لم يعجيني,DIAL_LEV
19,3,غريب رقضكوا موش طايق سمع اسم نادي ابو,DIAL_LEV
20,4,الله أجبر كسر رجع أدهم قبل بكر,DIAL_GLF
21,4,غد مارد اخضر عزف سمفيونيه وحداتيه انغام جماهيير في يبدا كاس اردن افتتاح انيق هزم حسين اربد عاد افراح دار ابتسامة جمهور ايطاليا رمثا شمل هزم فيصلي اربد سلم سلام كاس اردن,DIAL_GLF
22,4,اوج جميع,DIAL_GLF
23,4,فيصلي اثبت مبار امس لا استحق دوري هدي شاب اردن يلقن شيطان أحمر درس فن كره علي يد جمال ابو عابد راءع,DIAL_GLF
24,4,ياليتني حضي اصير رجل اجل كتب,DIAL_GLF
25,5,تعدد اسباب موت حد عمر وث اوراق شجرة لبد سقط يابن ادم انما ايام اذ ذهب بعض ذهب يوم كما حسن بصري رضي الله وبديعاقب تسبب حادث ارواح ناس ماهي لعب اوعلبه متي انتهى من,MSA
26,5,تخيل مع ترتيب رابع عشر عالم احصي مع كم وجد نادي عالم ها فيصلي زعيم يقارع عالم اسر نعم زعامه عنوان فيصلي,MSA
27,5,سءال هل صاحب شخصيه ندره حصول زمن هل انسان طبيعي,MSA
28,5,لماذا منطقة جنوبيه محروم سك حديد ثم وجود سك حديد خصوص منطق جنوبيه خفف ضغط مطار ابها اقليمي اصبح سفر من اشبه امنيه مستحيله بل لم عد احد وجد حجز قبل شهر جرب خير,MSA
29,5,عنى الله عند سءءال قال ماتمشي اموري امور اهل بيت الا شغاله عامل اولا اذ قادر استقدم شغال اوعامل لو رسم متدني ثبت دون شك انسان قادر مادي ادعى فقر ثاني زوجة بنت خوا اولادماهي الله شغلتهن ااكل تبطح ساق لماذا لايقومن اعمال,MSA
30,6,الله يزرقكم واسع,MSA
31,6,لو مثل مابتقولو محمود لعب صح انسان نجاح دار لا كوره هيج نثور وقف ايد وحد ارحم انفس جهو انظار اقصي لو عاوز,MSA
32,6,تدخين حرام لاتدخن ادعو منع تدخين ارجوك لا دخن مسلم مءمن عند دخن ذكر هناك الله حاسب انسان اعمال تكفير حرام ذلك تدخين حرام,MSA
33,6,فتش اسراءيل هيلوكوبتر عمل معاهدة حماي ايران,MSA
34,6,عنى الله عند سءءال قال ماتمشي اموري امور اهل بيت الا شغاله عامل اولا اذ قادر استقدم شغال اوعامل لو رسم متدني ثبت دون شك انسان قادر مادي ادعى فقر ثاني زوجة بنت خوا اولادماهي الله شغلتهن ااكل تبطح ساق لماذا لايقومن اعمال,MSA
35,7,ملفت مبهر ما احتاج تامل سبع,MSA
36,7,طب يش بترفعو سعر دخان خمر اشياء حرام ولي ناس مدمن,MSA
37,7,فرحة داخل ابن ماسك شها,MSA
38,7,الله قام,MSA
39,7,وش حلاق,MSA
40,8,سلام على رحم,MSA
41,8,عربي فصيح لايصح الا صحيح كاس وحدة لان لن ذهب مسافة وحدة هوزعيم بطولة وعالرايح جاي قال موسم باي باي,MSA
42,8,لا مستر برادعي اقصد جلب,MSA
43,8,غز حاج ابطال مو حاج اغاني,MSA
44,8,يااخ عدل لا تطمءن من حول من هم عبيد لاي محافظ اخر يا غير اسال قبل محافظ شاف هم بيتصلوا مين وقع كرسي بطل باه تصريح احس خلاص اصبح كارت اشرب قرف نعناع احسن,MSA
